,Maximos,Mimimos,Promedios
190,12826.258934226416,12826.258934226416,12826.258934226425
191,12185.758934226416,12185.758934226416,12185.758934226431
192,11549.323667783023,11549.323667783023,11549.323667783035
193,12185.758934226418,12185.758934226418,12185.758934226431
194,12189.823667783021,12189.823667783021,12189.823667783035
195,12189.823667783021,12189.823667783021,12189.823667783035
196,12826.258934226416,12826.258934226416,12826.258934226425
197,12826.258934226416,12826.258934226416,12826.258934226425
198,13466.758934226416,13466.758934226416,13466.758934226422
199,13466.758934226416,13466.758934226416,13466.758934226422
